"Model","Gene","Coefficient","Estimate","p.val.t.dist","p.val.perm"
"wnlm.Q","RP11-909M7.3","DxAFF",-0.11995447937009,0.340775370007067,0.5434
"wnlm.Q","ZIM2","DxAFF",0.31143010839665,0.110472556879953,0.1668
"wnlm.Q","NAP1L5","DxAFF",-0.280610139291201,0.127397272759441,0.243
"wnlm.Q","MEG3","DxAFF",-0.290483454644165,0.128847770143331,0.234
"wnlm.Q","PEG3","DxAFF",0.0168948104428907,0.906162252217765,0.8784
"wnlm.Q","PWAR6","DxAFF",-0.180443303557236,0.360872582424282,0.3304
"wnlm.Q","FAM50B","DxAFF",-0.0013836076597776,0.993375647995822,0.9962
"wnlm.Q","NDN","DxAFF",0.329249262048218,0.179233620975335,0.2086
"wnlm.Q","SNURF","DxAFF",-0.124847648884842,0.554210601362597,0.5678
"wnlm.Q","PEG10","DxAFF",0.0249542454784316,0.803231281033944,0.8118
"wnlm.Q","SNRPN","DxAFF",-0.140640604265622,0.455576475912373,0.5212
"wnlm.Q","KCNQ1OT1","DxAFF",0.168581824866614,0.439692521569441,0.4076
"wnlm.Q","ZDBF2","DxAFF",-0.174733880645524,0.241630336350136,0.323
"wnlm.Q","GRB10","DxAFF",-0.0259860922742402,0.804413136649007,0.8386
"wnlm.Q","SNORD116-20","DxAFF",0.129570269690047,0.734650079487335,0.7308
"wnlm.Q","KCNK9","DxAFF",-0.0361283851814464,0.783293071054089,0.8782
"wnlm.Q","INPP5F","DxAFF",0.00317521209316183,0.961694502717281,0.959
"wnlm.Q","RP13-487P22.1","DxAFF",-0.722018676742705,0.474719375475763,0.390160298417179
"wnlm.Q","MEST","DxAFF",0.0716563169839271,0.544663136658482,0.5064
"wnlm.Q","ZNF331","DxAFF",0.0343058966616175,0.73517975880238,0.7224
"wnlm.Q","hsa-mir-335","DxAFF",-0.222259109074259,0.512032523679492,0.7286
"wnlm.Q","DIRAS3","DxAFF",-1.20956694564018,0.310149002869119,0.0649271844660194
"wnlm.Q","PWRN1","DxAFF",-0.47864136402789,0.0719882885181067,0.064
"wnlm.Q","IGF2","DxAFF",-0.0727081615629381,0.631995205983662,0.6766
"wnlm.Q","NLRP2","DxAFF",0.182611904423805,0.250866842689983,0.4394
"wnlm.Q","UBE3A","DxAFF",-0.260951381133375,0.339118136927818,0.6416
"wnlm.Q","MAGEL2","RIN",0.0883520753323767,0.148747356206723,NA
"wnlm.Q","TMEM261P1","RIN",-0.167509150037462,0.00120767615294794,NA
"wnlm.Q","SNHG14","RIN",0.0946566312063508,0.123749661893375,NA
"wnlm.Q","AL132709.5","RIN",0.274115907409916,7.55113373820613e-09,NA
"wnlm.Q","RP11-909M7.3","RIN",0.0618128142410066,0.227152759893888,NA
"wnlm.Q","ZIM2","RIN",0.0355406711687514,0.677074100555183,NA
"wnlm.Q","NAP1L5","RIN",0.370078630253752,2.01135887934576e-07,NA
"wnlm.Q","MEG3","RIN",-0.295571239408417,2.77632138643004e-06,NA
"wnlm.Q","PEG3","RIN",0.139686373397342,0.0150548845156798,NA
"wnlm.Q","PWAR6","RIN",0.0584503800730532,0.393819371551048,NA
"wnlm.Q","FAM50B","RIN",0.301086788747865,0.000154299927372293,NA
"wnlm.Q","NDN","RIN",0.272269404591618,0.0406888291763463,NA
"wnlm.Q","SNURF","RIN",0.479542916311853,1.41560644490847e-08,NA
"wnlm.Q","PEG10","RIN",0.045018210681275,0.219449873376166,NA
"wnlm.Q","SNRPN","RIN",0.463495749611086,7.84516047389771e-10,NA
"wnlm.Q","KCNQ1OT1","RIN",-0.414609205023149,5.4582976250291e-13,NA
"wnlm.Q","ZDBF2","RIN",0.150623886402433,0.0138590766313984,NA
"wnlm.Q","GRB10","RIN",-0.0353140169311535,0.374578833775034,NA
"wnlm.Q","SNORD116-20","RIN",0.232716277174417,0.0901279701960811,NA
"wnlm.Q","KCNK9","RIN",-0.082649225906764,0.136142941599859,NA
"wnlm.Q","INPP5F","RIN",0.166174354841658,5.57112499220516e-08,NA
"wnlm.Q","RP13-487P22.1","RIN",-0.435576219448807,0.0203647273555107,NA
"wnlm.Q","MEST","RIN",0.0098449076892573,0.808335297716611,NA
"wnlm.Q","ZNF331","RIN",0.380042507465829,7.18018983877722e-17,NA
"wnlm.Q","hsa-mir-335","RIN",0.0899810690441529,0.426682325520244,NA
"wnlm.Q","DIRAS3","RIN",0.414849729636029,0.213143387326998,NA
"wnlm.Q","PWRN1","RIN",0.241081403665214,0.00507886089101412,NA
"wnlm.Q","IGF2","RIN",-0.0179787989377205,0.74592497806632,NA
"wnlm.Q","NLRP2","RIN",0.116363299494264,0.147137680367382,NA
"wnlm.Q","UBE3A","RIN",-0.292724766137841,0.0238405895766161,NA
"wnlm.Q","MAGEL2","RNA_batchB",0.0334034281913653,0.849566883329926,NA
"wnlm.Q","TMEM261P1","RNA_batchB",-0.112871914729678,0.657863824208728,NA
"wnlm.Q","SNHG14","RNA_batchB",0.143004722312594,0.41227607852456,NA
"wnlm.Q","AL132709.5","RNA_batchB",0.0331352034677117,0.797253776446302,NA
"wnlm.Q","RP11-909M7.3","RNA_batchB",0.150255858582859,0.324233309470419,NA
"wnlm.Q","ZIM2","RNA_batchB",-0.496690314965615,0.0500217632147181,NA
"wnlm.Q","NAP1L5","RNA_batchB",0.172504992184038,0.346673454351397,NA
"wnlm.Q","MEG3","RNA_batchB",-0.30701976901505,0.107374950652528,NA
"wnlm.Q","PEG3","RNA_batchB",-0.24499250501075,0.107133608834978,NA
"wnlm.Q","PWAR6","RNA_batchB",-0.444036299571995,0.0194860447850808,NA
"wnlm.Q","FAM50B","RNA_batchB",0.157264196854638,0.352275599158597,NA
"wnlm.Q","NDN","RNA_batchB",-0.288828671507812,0.498129977833328,NA
"wnlm.Q","SNURF","RNA_batchB",-0.255480942106129,0.216836238636738,NA
"wnlm.Q","PEG10","RNA_batchB",-0.0374353501225971,0.733879175705447,NA
"wnlm.Q","SNRPN","RNA_batchB",-0.339113644877139,0.0670846463873622,NA
"wnlm.Q","KCNQ1OT1","RNA_batchB",-0.356144337391072,0.0317619144635211,NA
"wnlm.Q","ZDBF2","RNA_batchB",0.0973079177078359,0.536378982773883,NA
"wnlm.Q","GRB10","RNA_batchB",-0.152156456340095,0.189377563642332,NA
"wnlm.Q","SNORD116-20","RNA_batchB",0.555007623172312,0.271713309548518,NA
"wnlm.Q","KCNK9","RNA_batchB",0.106201310274808,0.502126121346271,NA
"wnlm.Q","INPP5F","RNA_batchB",0.0133941950127247,0.856342700960915,NA
"wnlm.Q","RP13-487P22.1","RNA_batchB",-0.0294412492762229,0.951128448174521,NA
"wnlm.Q","MEST","RNA_batchB",0.0504205693872375,0.66988350016662,NA
