"Coefficient","Gene","p.val.t.dist.wnlm.Q.*","p.val.perm.wnlm.Q.*","p.val.t.dist.logi.S.*","p.val.perm.logi.S.*","logi.S.fit.OK","Estimate.wnlm.Q","p.val.t.dist.wnlm.Q","p.val.perm.wnlm.Q","Estimate.logi.S","p.val.t.dist.logi.S","p.val.perm.logi.S"
"InstitutionPitt","INPP5F","",NA,NA,NA,FALSE,0.0279410527372335,0.626652457607832,NA,NA,NA,NA
"InstitutionPitt","RP13-487P22.1","",NA,NA,NA,FALSE,-0.0489138804223778,0.909679226285017,NA,NA,NA,NA
"InstitutionPitt","MEST","",NA,"",NA,TRUE,-0.0350556100639027,0.729001929357077,NA,-0.0122977325624792,0.863001571058078,NA
"InstitutionPitt","ZNF331","",NA,NA,NA,FALSE,0.133417185964265,0.15891666746604,NA,NA,NA,NA
"InstitutionPitt","hsa-mir-335","",NA,"",NA,TRUE,-0.186966195344259,0.488148999313055,NA,0.0552323925590184,0.847280728736707,NA
"InstitutionPitt","DIRAS3","",NA,NA,NA,FALSE,-0.40886954104508,0.290324145063115,NA,NA,NA,NA
"InstitutionPitt","PWRN1","",NA,"*",NA,TRUE,-0.436422292597859,0.0563878542867415,NA,-0.485038034768823,0.0360574788096876,NA
"InstitutionPitt","IGF2","*",NA,"*",NA,TRUE,0.322741577392337,0.0205672619173698,NA,0.333371669882667,0.027375997993565,NA
"InstitutionPitt","NLRP2","",NA,NA,NA,FALSE,-0.0976849034380159,0.493583543350791,NA,NA,NA,NA
"InstitutionPitt","UBE3A","",NA,"*",NA,TRUE,0.445476087172554,0.0836855195126725,NA,0.344577549370199,0.0488482900009593,NA
"GenderMale","MAGEL2","","",NA,NA,FALSE,0.0343829858741783,0.691479417675567,0.7246,NA,NA,NA
"GenderMale","TMEM261P1","","",NA,NA,FALSE,-0.148439409788169,0.0774007066560266,0.1456,NA,NA,NA
"GenderMale","SNHG14","","",NA,NA,FALSE,-0.136630435821862,0.136241116033083,0.316,NA,NA,NA
"GenderMale","AL132709.5","","",NA,NA,FALSE,0.0509255779818228,0.465585100638491,0.5002,NA,NA,NA
"GenderMale","RP11-909M7.3","","",NA,NA,FALSE,0.0971750999065246,0.214582996113641,0.3256,NA,NA,NA
"GenderMale","ZIM2","","",NA,NA,FALSE,0.114858801909848,0.383264381756478,0.3818,NA,NA,NA
"GenderMale","NAP1L5","*","*",NA,NA,FALSE,-0.246659817905307,0.022326968623412,0.049,NA,NA,NA
"GenderMale","MEG3","***","**",NA,NA,FALSE,-0.449468725220517,8.82072464776601e-06,0.0016,NA,NA,NA
"GenderMale","PEG3","**","*",NA,NA,FALSE,0.240079974366196,0.00506420587905095,0.0154,NA,NA,NA
"GenderMale","PWAR6","","",NA,NA,FALSE,-0.0478973636795257,0.627474890908937,0.6568,NA,NA,NA
"GenderMale","FAM50B","","",NA,NA,FALSE,0.0930694119085761,0.351951190620192,0.3866,NA,NA,NA
"GenderMale","NDN","*","*",NA,NA,FALSE,-0.375582333336314,0.0175746505830091,0.0158,NA,NA,NA
"GenderMale","SNURF","","",NA,NA,FALSE,-0.0678330749072794,0.539889186459806,0.589,NA,NA,NA
"GenderMale","PEG10","","",NA,NA,FALSE,-0.05469111889444,0.35345868105612,0.3676,NA,NA,NA
"GenderMale","SNRPN","","",NA,NA,FALSE,-0.074676703373378,0.449936941589946,0.5496,NA,NA,NA
"GenderMale","KCNQ1OT1","***","*","","",TRUE,-0.303747627107025,0.000388598821594067,0.0174,-0.0999176316296829,0.289208452824622,0.4928
"GenderMale","ZDBF2","","",NA,NA,FALSE,0.0760452997069434,0.397219198916929,0.4598,NA,NA,NA
"GenderMale","GRB10","","","","",TRUE,-0.0919052380706815,0.113245702770159,0.1776,-0.100082862686054,0.138570853395231,0.2596
"GenderMale","SNORD116-20","","",NA,NA,FALSE,0.0890239711073118,0.648822229697284,0.7192,NA,NA,NA
"GenderMale","KCNK9","","","","",TRUE,0.000761624002478887,0.992607555852066,0.9956,0.0560780021251755,0.747012551259936,0.7794
"GenderMale","INPP5F","","",NA,NA,FALSE,0.00259418577616469,0.950435602153134,0.9414,NA,NA,NA
"GenderMale","RP13-487P22.1","","",NA,NA,FALSE,0.0440668480298659,0.902634064600617,0.934,NA,NA,NA
"GenderMale","MEST","","","**","*",TRUE,-0.103963654812593,0.118471982783702,0.2526,-0.126653063504295,0.00696807231655069,0.044
"GenderMale","ZNF331","","",NA,NA,FALSE,-0.073516078390316,0.239886737819339,0.3524,NA,NA,NA
"GenderMale","hsa-mir-335","","","","",TRUE,-0.163783610405946,0.314874911483792,0.623,-0.0655200196826626,0.700774672615761,0.7674
"GenderMale","DIRAS3","","",NA,NA,FALSE,0.086662100142427,0.754294877684442,0.8046,NA,NA,NA
"GenderMale","PWRN1","","","","",TRUE,-0.030884577816948,0.810151756454811,0.8242,-0.0614320759753326,0.646418553930213,0.7558
"GenderMale","IGF2","","","","",TRUE,-0.111897799231912,0.204165912389166,0.2376,-0.0897489737630805,0.335436251771802,0.4646
"GenderMale","NLRP2","","",NA,NA,FALSE,0.00657024830102827,0.949722875392977,0.9656,NA,NA,NA
"GenderMale","UBE3A","","","**","*",TRUE,0.282768303556209,0.123466118831742,0.381,0.352594508300765,0.00155076259681626,0.0398
"PMI","MAGEL2","",NA,NA,NA,FALSE,-0.00670435354680037,0.107393705746047,NA,NA,NA,NA
"PMI","TMEM261P1","",NA,NA,NA,FALSE,-0.00788529108369058,0.105185445088314,NA,NA,NA,NA
"PMI","SNHG14","",NA,NA,NA,FALSE,0.00139213461077489,0.740100723789394,NA,NA,NA,NA
"PMI","AL132709.5","",NA,NA,NA,FALSE,0.00304803330620759,0.343794260446188,NA,NA,NA,NA
"PMI","RP11-909M7.3","",NA,NA,NA,FALSE,0.00399335082423714,0.32429676668875,NA,NA,NA,NA
"PMI","ZIM2","",NA,NA,NA,FALSE,-0.000712221399062978,0.908740858242942,NA,NA,NA,NA
"PMI","NAP1L5","",NA,NA,NA,FALSE,-0.00498259539706692,0.342909485642976,NA,NA,NA,NA
"PMI","MEG3","",NA,NA,NA,FALSE,0.00246397237498873,0.556476919070321,NA,NA,NA,NA
"PMI","PEG3","",NA,NA,NA,FALSE,-0.00529672381242493,0.191638465327462,NA,NA,NA,NA
"PMI","PWAR6","",NA,NA,NA,FALSE,-0.00722483654025378,0.138581864758624,NA,NA,NA,NA
"PMI","FAM50B","",NA,NA,NA,FALSE,-0.00313146749004325,0.559256498422603,NA,NA,NA,NA
"PMI","NDN","",NA,NA,NA,FALSE,-0.0102425155968493,0.141379276427674,NA,NA,NA,NA
"PMI","SNURF","",NA,NA,NA,FALSE,0.00634868745056124,0.264448631607484,NA,NA,NA,NA
"PMI","PEG10","*",NA,NA,NA,FALSE,-0.00603485551510527,0.0247402708601636,NA,NA,NA,NA
"PMI","SNRPN","",NA,NA,NA,FALSE,0.00584135058797818,0.248053374658386,NA,NA,NA,NA
